parent,name,value
,Origin,
Origin,Norte,
Origin,Nordeste,
Origin,Sudeste,
Origin,Sul,
Origin,Centro-Oeste,
Norte,RO,502
Norte,AC,404
Norte,AM,5254
Norte,RR,519
Norte,PA,2876
Norte,AP,1080
Norte,TO,137
Nordeste,MA,3190
Nordeste,PI,513
Nordeste,CE,7606
Nordeste,RN,1177
Nordeste,PB,814
Nordeste,PE,6876
Nordeste,AL,1044
Nordeste,SE,447
Nordeste,BA,2851
Sudeste,MG,1827
Sudeste,ES,2465
Sudeste,RJ,9453
Sudeste,SP,28698
Sul,PR,1407
Sul,SC,2085
Sul,RS,1466
Centro-Oeste,MS,255
Centro-Oeste,MT,297
Centro-Oeste,GO,781
Centro-Oeste,DF,1356
